,state,x,y
0,Abia,-73.0,-235.0
1,Adamawa,256.0,36.0
2,Akwa Ibom,-55.0,-289.0
3,Anambra,-119.0,-200.0
4,Bauchi,69.0,98.0
5,Bayelsa,-179.0,-296.0
6,Benue,5.0,-112.0
7,Borno,313.0,206.0
8,Cross River,-12.0,-215.0
9,Delta,-186.0,-238.0
10,Ebonyi,-46.0,-186.0
11,Edo,-184.0,-161.0
12,Ekiti,-223.0,-85.0
13,Enugu,-85.0,-177.0
14,Abuja,-104.0,-13.0
15,Gombe,170.0,87.0
16,Imo,-112.0,-234.0
17,Jigawa,58.0,231.0
18,Kaduna,-62.0,78.0
19,Kano,-15.0,197.0
20,Katsina,-82.0,235.0
21,Kebbi,-314.0,193.0
22,Kogi,-136.0,-95.0
23,Kwara,-270.0,-17.0
24,Lagos,-363.0,-172.0
25,Nasarawa,-39.0,-32.0
26,Niger,-201.0,44.0
27,Ogun,-367.0,-141.0
28,Ondo,-255.0,-142.0
29,Osun,-280.0,-103.0
30,Oyo,-346.0,-49.0
31,Plateau,65.0,1.0
32,Rivers,-123.0,-282.0
33,Sokoto,-217.0,287.0
34,Taraba,143.0,-66.0
35,Yobe,185.0,216.0
36,Zamfara,-156.0,218.0
